,names,scores,logfoldchanges,pvals,pvals_adj
0,ADT.B2M,9.670898,0.5100552,4.008446451043951e-22,6.814358966774718e-21
1,ADT.CD235a,9.297982,,1.431355969689683e-20,2.1629379097532986e-19
2,ADT.Siglec10,9.269894,1.1847866,1.8633094239415173e-20,2.6674745437478564e-19
3,ADT.CD160,8.335468,2.1264403,7.719216647643345e-17,8.74844553399579e-16
4,ADT.CD36,7.9589763,2.1800697,1.7346868271312304e-15,1.572782723265649e-14
5,ADT.CD9,5.286197,2.405811,1.2488537555220863e-07,5.959442482491359e-07
6,ADT.CD32,4.725995,0.8994925,2.28991171065933e-06,8.772619511258277e-06
7,ADT.CD54,4.5984626,0.9181939,4.256205851240832e-06,1.4842153737660338e-05
8,ADT.CD99,4.385966,0.5327771,1.1547218209651938e-05,3.5290374753093564e-05
9,ADT.CD25,4.378115,0.9647011,1.1971012624638644e-05,3.617906037668568e-05
10,ADT.CD61,3.479803,0.865358,0.0005017823797106443,0.0012637482155675487
11,ADT.CD162,3.2400904,0.4646343,0.0011949179978361572,0.0027779290206105534
12,ADT.CD326,3.1140406,0.52450466,0.0018454407734366594,0.004182999086456428
13,ADT.CD235ab,3.033613,0.65499187,0.002416441907697156,0.005300582249142149
14,ADT.CD41,2.9138439,0.3299121,0.0035700838645017154,0.007586428212066145
15,ADT.CD196,2.9072142,0.5557612,0.0036466330606628196,0.00768902474806424
16,ADT.CD40,2.8670006,0.4605213,0.004143823980867049,0.008651519795561701
17,ADT.CD82,2.8372545,0.4343804,0.004550333084451172,0.009321211830228389
18,ADT.CD328,2.8243442,0.5597919,0.0047377480021524605,0.009545684863596068
19,ADT.CD35,2.7516801,0.42607805,0.005929039510619931,0.011686222803540735
20,ADT.CD26,2.599897,0.4563368,0.009325173904394995,0.017737393720247824
21,ADT.CD39,2.440699,0.3090242,0.014658859748327938,0.02640536325526622
22,ADT.CD24,2.3444827,0.33474222,0.019053498389378597,0.03343581652845793
23,ADT.CD27,2.304705,0.44788113,0.021183102357144958,0.036934640007329676
24,ADT.CD105,2.2014227,0.8084829,0.02770611738596283,0.046336573962567046
25,ADT.CD340,2.129282,0.4280253,0.03323093334454332,0.053484105737963215
26,"RatIgG2c,IsotypeCtrl",1.9501082,0.21776016,0.05116323195395675,0.0777926452306356
27,ADT.IgGFc,1.9359766,0.2591273,0.05287056700426546,0.07945190179646523
28,ADT.CD20,1.8078332,0.2331476,0.07063245845684882,0.1027381213917801
29,ADT.CD64,1.5331407,0.18804511,0.12524120694575336,0.16781087827214242
30,ADT.CD57,1.5132518,0.11756065,0.13021570819472664,0.1736209442596355
31,ADT.CD319,1.4995564,0.21389398,0.13372933973646803,0.17743600199180148
32,"RatIgG2b,IsotypeCtrl",1.4486132,0.25305495,0.14744565357936543,0.1909772274932733
33,ADT.CD172a,1.426718,0.14955439,0.1536612036697879,0.19808458482550856
34,ADT.TCR,1.3389629,0.23572212,0.18058275540784274,0.22845818358573594
35,ADT.CD73,1.1988688,0.20473778,0.23057897069996014,0.2850794546835871
36,ADT.CD11c,1.171827,0.31122056,0.24126653599410952,0.29309413458968453
37,ADT.HLA.F,1.1715653,0.13808478,0.24137164025032842,0.29309413458968453
38,ADT.CD42b,1.0931439,0.1383605,0.2743305918240967,0.33016779192988627
39,ADT.IgM,1.0114079,0.119211204,0.311821253341522,0.3719972846881315
40,ADT.IgE,0.90315336,0.045087215,0.3664445161688674,0.42962460516349976
41,ADT.CD94,0.8933834,0.03729732,0.37165189261822595,0.4338597201380149
42,ADT.CD304,0.88282835,0.1364357,0.37732901588477796,0.4386046680370068
43,ADT.CD3,0.87864125,-0.2011623,0.37959582927152613,0.43936198111427704
44,ADT.CD294,0.852559,0.334119,0.3939039290673555,0.45017591893412057
45,ADT.CD146,0.7786737,-1.0811393,0.4361719429422094,0.4922770476360206
46,ADT.CD45RA,0.76776975,0.23176788,0.4426239865256806,0.4974947286569633
47,ADT.TCR.Vg9,0.68891233,0.11219381,0.4908784567007082,0.5383828234781961
48,ADT.CD62L,0.5433226,0.60097426,0.5869077024515831,0.6360115341307991
49,ADT.CD194,0.45783556,0.07930106,0.6470705962231479,0.6956648307221195
50,ADT.CD52,0.4467571,0.12569417,0.6550504343653375,0.7014713312888653
51,ADT.CD193,0.3866545,0.060415205,0.6990120170715924,0.7369429017188882
52,ADT.integrin,0.28106052,0.04957618,0.7786639831406811,0.8146023208240971
53,ADT.CD154,0.24289665,0.05776941,0.8080854593805413,0.8385353601218601
