,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
1483,GO_Biological_Process_2025,Protein Dephosphorylation (GO:0006470),1/90,0.6784589467679005,0.7182338311134581,0,0,0.8871892062632553,0.3441684687028543,CTDP1
1484,GO_Biological_Process_2025,Protein Ubiquitination (GO:0016567),4/369,0.6804042180513372,0.719598512301932,0,0,0.8635705535137543,0.3325335751170866,PRKN;RACK1;FAU;UBA52
1485,GO_Biological_Process_2025,Regulation of Double-Strand Break Repair (GO:2000779),1/91,0.6824963611265936,0.719598512301932,0,0,0.8772869254796966,0.3351219243180227,ARID1B
1486,GO_Biological_Process_2025,Regulation of Epithelial to Mesenchymal Transition (GO:0010717),1/91,0.6824963611265936,0.719598512301932,0,0,0.8772869254796966,0.3351219243180227,RGCC
1487,GO_Biological_Process_2025,Phosphatidylinositol Biosynthetic Process (GO:0006661),1/91,0.6824963611265936,0.719598512301932,0,0,0.8772869254796966,0.3351219243180227,INPP5D
1488,GO_Biological_Process_2025,Protein K48-linked Ubiquitination (GO:0070936),1/91,0.6824963611265936,0.719598512301932,0,0,0.8772869254796966,0.3351219243180227,PRKN
1489,GO_Biological_Process_2025,Protein O-linked Glycosylation (GO:0006493),1/91,0.6824963611265936,0.719598512301932,0,0,0.8772869254796966,0.3351219243180227,OGT
1490,GO_Biological_Process_2025,Protein Localization (GO:0008104),4/371,0.6844857768532996,0.7212120425463002,0,0,0.8587758357147605,0.3255511102123696,RAB32;PAM16;FLNA;ROMO1
1491,GO_Biological_Process_2025,RNA Splicing (GO:0008380),1/92,0.6864832798772921,0.7218642789071124,0,0,0.8676022772408315,0.3263689068719401,SNRPD2
1492,GO_Biological_Process_2025,Regulation of Osteoblast Differentiation (GO:0045667),1/92,0.6864832798772921,0.7218642789071124,0,0,0.8676022772408315,0.3263689068719401,TENT5A
1493,GO_Biological_Process_2025,Glucose Homeostasis (GO:0042593),1/92,0.6864832798772921,0.7218642789071124,0,0,0.8676022772408315,0.3263689068719401,PYGL
1494,GO_Biological_Process_2025,Negative Regulation of Angiogenesis (GO:0016525),1/93,0.6904203320153862,0.72503365079958,0,0,0.858128164833246,0.3178976033091639,RGCC
1495,GO_Biological_Process_2025,Positive Regulation of DNA Repair (GO:0045739),1/93,0.6904203320153862,0.72503365079958,0,0,0.858128164833246,0.3178976033091639,ARID1B
1496,GO_Biological_Process_2025,Cellular Response to Peptide Hormone Stimulus (GO:0071375),1/94,0.6943081387592873,0.7276571621019616,0,0,0.8488577967785119,0.3096967803311103,IRS2
